sample_id,treatment,replicate,absorbance,ph,date,
S07001,Control,2.0,n.d.,7.73,2025-07-06,
S07002,control,2.0,1.135,7.62,2025-07-14,
,,,,,,
S07003,Treated,2.0,0.409,6.77,2025-07-26,
S07004,Treated,3.0,0.261,7.8,2025-07-16,
S07005,Control,2.0,1.431,6.93,2025-07-04,
S07006,Treated,1.0,0.273,6.63,2025-07-12,
S07007,Control,2.0,0.558,7.41,2025-07-03,
S07008,Treated,2.0,0.784,7.31,2025-07-04,
S07009,treated ,3.0,0.454,7.19,2025-07-20,
S07010,Treated,3.0,1.344,7.85,2025-07-25,
S07011,TREATED,1.0,1.584,6.89,2025-07-03,
S07012,Control,1.0,0.137,7.31,2025-07-18,
S07013,Treated,3.0,1.443,6.72,2025-07-21,
S07014,Control,2.0,0.727,7.46,2025-07-07,
S07015,Treated,3.0,1.051,7.42,2025-07-12,
S07016,Control,3.0,0.791,6.93,2025-07-10,
S07017,Treated,3.0,0.731,6.4,2025-07-26,
S07018,Control,1.0,0.748,6.91,2025-07-14,
S07019,Control,2.0,1.239,6.67,2025-07-26,
S07020,TREATED,1.0,0.413,7.33,2025-07-06,
S07021,Treated,1.0,1.543,6.78,2025-07-14,
S07022,Control,1.0,1.297,6.65,2025-07-17,
S07023,Control,1.0,0.315,7.05,2025-07-05,
S07024,Control,1.0,0.105,7.23,2025-07-13,
S07025,Treated,3.0,0.584,6.5,2025-07-24,
S07026,Treated,1.0,0.418,7.81,2025-07-22,
S07027,Control,3.0,0.259,6.71,2025-07-02,
S07028,Control ,1.0,1.213,6.98,2025-07-23,
S07029,Control ,1.0,0.214,6.85,2025-07-15,
S07030,TREATED,1.0,0.577,7.84,2025-07-21,
S07031,Control,3.0,0.517,7.7,2025-07-21,
S07032,Treated,3.0,1.262,6.65,2025-07-14,
S07033,control,1.0,1.494,7.73,2025-07-14,
S07034,Treated,3.0,0.841,7.28,2025-07-16,
S07035,treated,1.0,0.674,6.89,2025-07-02,
S07036,Treated,3.0,0.574,7.84,2025-07-09,
S07037,Treated,3.0,0.869,7.52,2025-07-15,
S07038,Treated,2.0,0.549,6.71,2025-07-10,
S07039,Control,1.0,1.162,7.88,2025-07-07,
S07040,Treated,2.0,0.152,7.37,2025-07-03,
S07041,Control,1.0,1.418,7.39,2025-07-03,
S07042,treated ,3.0,1.325,7.11,2025-07-26,
S07043,Control,1.0,0.468,6.99,2025-07-19,
S07044,Control,2.0,0.097,6.41,2025-07-10,
S07045,Treated,1.0,1.194,7.54,2025-07-20,
S07046,Control,3.0,0.386,7.31,2025-07-12,
S07047,control,3.0,n.d.,7.48,2025-07-25,
S07048,treated,3.0,,6.98,2025-07-14,
S07049,Control,1.0,0.904,7.55,2025-07-20,
S07050,TREATED,2.0,1.449,6.62,2025-07-27,
S07051,Control,2.0,n.d.,7.9,2025-07-22,
S07052,Control,3.0,1.219,7.57,2025-07-20,
S07053,Treated,2.0,0.957,6.96,2025-07-27,
S07054,Treated,2.0,0.248,7.37,2025-07-24,
S07055,Treated,2.0,n.d.,6.62,2025-07-09,
S07056,treated ,3.0,1.309,7.3,2025-07-06,
S07057,Control,2.0,,7.78,2025-07-25,
S07058,Treated,2.0,0.696,7.53,2025-07-06,
S07059,Treated,3.0,1.24,7.54,2025-07-25,
S07060,Treated,3.0,1.135,7.55,2025-07-04,
S07061,CONTROL,3.0,0.46,6.63,2025-07-16,
S07062,Treated,2.0,1.42,6.82,2025-07-28,
S07063,TREATED,2.0,1.448,7.48,2025-07-25,
S07064,Treated,1.0,1.268,6.58,2025-07-19,
S07065,treated,3.0,0.476,6.87,2025-07-02,
S07066,CONTROL,2.0,1.523,6.46,2025-07-13,
S07067,Treated,1.0,1.204,6.69,2025-07-24,
S07068,Control,1.0,0.125,7.42,2025-07-15,
S07069,Treated,2.0,1.368,7.64,2025-07-18,
S07070,Control,3.0,0.85,7.88,2025-07-20,
S07071,Treated,2.0,0.094,7.72,2025-07-06,
S07072,Treated,3.0,0.328,7.54,2025-07-23,
S07073,Treated,2.0,0.437,7.68,2025-07-02,
S07074,Control,3.0,,7.71,2025-07-18,
S07075,Control,2.0,0.262,7.36,2025-07-21,
S07076,CONTROL,2.0,,7.17,2025-07-22,
S07077,Treated,1.0,0.233,7.43,2025-07-21,
S07078,treated ,2.0,0.866,7.49,2025-07-01,
S07079,Treated,2.0,0.36,6.51,2025-07-28,
S07080,Treated,3.0,0.438,7.66,2025-07-05,
