sample_id,treatment,replicate,absorbance,ph,date
S11001,Control,2.0,1.131,6.71,2025-11-10
S11002,control,1.0,0.401,7.29,2025-11-11
S11003,CONTROL,3.0,0.28,7.47,2025-11-25
S11004,Control,1.0,0.513,7.04,2025-11-04
,,,,,
S11005,Control,1.0,0.175,7.18,2025-11-09
S11006,Treated,2.0,0.546,7.82,2025-11-08
S11007,Treated,3.0,0.398,7.03,2025-11-07
S11008,Control,3.0,1.493,7.25,2025-11-17
S11009,Treated,2.0,0.358,7.79,2025-11-20
S11010,Control,1.0,1.399,6.53,2025-11-07
S11011,Treated,2.0,1.41,6.88,2025-11-18
S11012,CONTROL,1.0,1.278,6.63,2025-11-05
S11013,Treated,1.0,1.294,7.41,2025-11-11
S11014,treated ,3.0,0.895,6.71,2025-11-04
S11015,Control ,2.0,1.187,7.23,2025-11-18
S11016,Treated,3.0,n.d.,7.47,2025-11-25
S11017,Treated,2.0,0.179,7.66,2025-11-23
S11018,treated ,3.0,0.726,7.24,2025-11-18
S11019,Treated,1.0,1.465,7.29,2025-11-24
S11020,Control,3.0,0.833,6.8,2025-11-13
S11021,Treated,1.0,n.d.,6.94,2025-11-13
S11022,Control,1.0,1.102,6.75,2025-11-11
S11023,control,3.0,1.256,7.03,2025-11-16
S11024,Control,3.0,0.547,7.16,2025-11-21
S11025,Treated,3.0,0.626,6.85,2025-11-19
S11026,Treated,1.0,,7.07,2025-11-06
S11027,Control,3.0,1.381,6.43,2025-11-25
S11028,Control,1.0,0.819,6.59,2025-11-13
S11029,Treated,2.0,0.113,7.25,2025-11-17
S11030,Treated,1.0,1.122,6.98,2025-11-13
S11031,Control,2.0,0.665,7.13,2025-11-20
S11032,Control,2.0,0.424,7.36,2025-11-08
S11033,Treated,3.0,1.426,7.17,2025-11-05
S11034,Control ,3.0,0.455,7.06,2025-11-07
S11035,Control,1.0,1.574,6.43,2025-11-13
S11036,treated,3.0,1.1,7.62,2025-11-21
S11037,Treated,1.0,1.416,7.22,2025-11-26
S11038,Treated,2.0,1.27,6.63,2025-11-23
S11039,Control,1.0,0.135,6.77,2025-11-26
S11040,Control,1.0,1.561,7.81,2025-11-24
S11041,treated ,3.0,0.803,7.48,2025-11-13
S11042,Control,2.0,0.218,7.54,2025-11-04
S11043,control,3.0,0.436,7.11,2025-11-16
S11044,Treated,1.0,0.446,6.88,2025-11-13
S11045,Control,2.0,0.651,7.31,2025-11-23
S11046,Control,1.0,1.258,6.59,2025-11-02
S11047,control,3.0,1.482,7.76,2025-11-03
S11048,CONTROL,3.0,0.699,7.56,2025-11-03
S11049,control,3.0,0.581,7.04,2025-11-03
S11050,Control,1.0,0.44,7.26,2025-11-07
S11051,Treated,2.0,1.182,6.86,2025-11-03
S11052,Control,1.0,0.504,7.89,2025-11-17
S11053,Control ,2.0,n.d.,7.03,2025-11-21
S11054,Treated,1.0,1.112,7.29,2025-11-01
S11055,CONTROL,3.0,,7.14,2025-11-20
S11056,Treated,1.0,0.652,6.9,2025-11-27
S11057,Treated,2.0,0.488,7.29,2025-11-13
S11058,Control,1.0,0.794,6.51,2025-11-03
S11059,Treated,2.0,0.69,7.55,2025-11-16
S11060,Control,3.0,0.881,6.54,2025-11-27
S11061,TREATED,1.0,1.404,7.06,2025-11-14
S11062,Treated,2.0,0.834,7.86,2025-11-18
S11063,treated,3.0,0.158,7.27,2025-11-06
S11064,Control,1.0,0.721,7.72,2025-11-03
S11065,Treated,1.0,0.875,6.64,2025-11-01
S11066,TREATED,3.0,1.467,6.46,2025-11-22
S11067,Control,2.0,1.07,7.63,2025-11-19
S11068,Treated,3.0,,7.83,2025-11-11
S11069,Control,2.0,0.83,7.38,2025-11-16
S11070,Control,1.0,0.243,7.5,2025-11-23
S11071,Control,3.0,0.234,7.5,2025-11-06
S11072,treated ,1.0,n.d.,7.48,2025-11-18
S11073,Treated,1.0,0.754,7.19,2025-11-25
S11074,Treated,3.0,0.472,6.92,2025-11-16
S11075,Control,1.0,1.206,7.03,2025-11-02
S11076,Treated,3.0,0.695,7.6,2025-11-17
S11077,Treated,1.0,0.481,7.5,2025-11-04
S11078,Control,3.0,,6.4,2025-11-27
S11079,Control,3.0,0.415,6.94,2025-11-03
S11080,Treated,3.0,1.133,6.99,2025-11-18
